fechaHora,trxs
07/06/2022,351
07/06/2022 12:05:00 AM,285
07/06/2022 12:10:00 AM,285
07/06/2022 12:15:00 AM,309
07/06/2022 12:20:00 AM,258
07/06/2022 12:25:00 AM,291
07/06/2022 12:30:00 AM,285
07/06/2022 12:35:00 AM,240
07/06/2022 12:40:00 AM,198
07/06/2022 12:45:00 AM,195
07/06/2022 12:50:00 AM,147
07/06/2022 12:55:00 AM,174
07/06/2022 01:00:00 AM,147
07/06/2022 01:05:00 AM,117
07/06/2022 01:10:00 AM,99
07/06/2022 01:15:00 AM,90
07/06/2022 01:20:00 AM,99
07/06/2022 01:25:00 AM,96
07/06/2022 01:30:00 AM,72
07/06/2022 01:35:00 AM,90
07/06/2022 01:40:00 AM,51
07/06/2022 01:45:00 AM,66
07/06/2022 01:50:00 AM,87
07/06/2022 01:55:00 AM,111
07/06/2022 02:00:00 AM,72
07/06/2022 02:05:00 AM,42
07/06/2022 02:10:00 AM,27
07/06/2022 02:15:00 AM,75
07/06/2022 02:20:00 AM,21
07/06/2022 02:25:00 AM,36
07/06/2022 02:30:00 AM,45
07/06/2022 02:35:00 AM,15
07/06/2022 02:40:00 AM,45
07/06/2022 02:45:00 AM,30
07/06/2022 02:50:00 AM,18
07/06/2022 02:55:00 AM,36
07/06/2022 03:00:00 AM,18
07/06/2022 03:05:00 AM,12
07/06/2022 03:10:00 AM,24
07/06/2022 03:15:00 AM,9
07/06/2022 03:20:00 AM,21
07/06/2022 03:25:00 AM,36
07/06/2022 03:30:00 AM,27
07/06/2022 03:35:00 AM,12
07/06/2022 03:40:00 AM,27
07/06/2022 03:45:00 AM,27
07/06/2022 03:50:00 AM,24
07/06/2022 03:55:00 AM,27
07/06/2022 04:00:00 AM,12
07/06/2022 04:05:00 AM,9
07/06/2022 04:10:00 AM,15
07/06/2022 04:15:00 AM,21
07/06/2022 04:20:00 AM,12
07/06/2022 04:25:00 AM,12
07/06/2022 04:30:00 AM,18
07/06/2022 04:35:00 AM,9
07/06/2022 04:40:00 AM,15
07/06/2022 04:45:00 AM,15
07/06/2022 04:50:00 AM,21
07/06/2022 04:55:00 AM,30
07/06/2022 05:00:00 AM,9
07/06/2022 05:05:00 AM,45
07/06/2022 05:10:00 AM,30
07/06/2022 05:15:00 AM,33
07/06/2022 05:20:00 AM,9
07/06/2022 05:25:00 AM,39
07/06/2022 05:30:00 AM,45
07/06/2022 05:35:00 AM,57
07/06/2022 05:40:00 AM,45
07/06/2022 05:45:00 AM,54
07/06/2022 05:50:00 AM,57
07/06/2022 05:55:00 AM,57
07/06/2022 06:00:00 AM,84
07/06/2022 06:05:00 AM,48
07/06/2022 06:10:00 AM,78
07/06/2022 06:15:00 AM,99
07/06/2022 06:20:00 AM,102
07/06/2022 06:25:00 AM,96
07/06/2022 06:30:00 AM,117
07/06/2022 06:35:00 AM,117
07/06/2022 06:40:00 AM,126
07/06/2022 06:45:00 AM,117
07/06/2022 06:50:00 AM,141
07/06/2022 06:55:00 AM,162
07/06/2022 07:00:00 AM,138
07/06/2022 07:05:00 AM,147
07/06/2022 07:10:00 AM,171
07/06/2022 07:15:00 AM,246
07/06/2022 07:20:00 AM,246
07/06/2022 07:25:00 AM,309
07/06/2022 07:30:00 AM,267
07/06/2022 07:35:00 AM,288
07/06/2022 07:40:00 AM,345
07/06/2022 07:45:00 AM,264
07/06/2022 07:50:00 AM,285
07/06/2022 07:55:00 AM,318
07/06/2022 08:00:00 AM,381
07/06/2022 08:05:00 AM,390
07/06/2022 08:10:00 AM,414
07/06/2022 08:15:00 AM,396
07/06/2022 08:20:00 AM,525
07/06/2022 08:25:00 AM,465
07/06/2022 08:30:00 AM,441
07/06/2022 08:35:00 AM,567
07/06/2022 08:40:00 AM,549
07/06/2022 08:45:00 AM,519
07/06/2022 08:50:00 AM,606
07/06/2022 08:55:00 AM,516
07/06/2022 09:00:00 AM,549
